seed                 manhattan    sol   modified  sol   diff
12345a679ef8d0cb          48      10    * 14      10    34
124750b396a8defc          62      10    * 22      10    40
2304167859fbdaec          34      10    * 10      10    24
2374168059acdebf          34      10    * 10      10    24
12345678d9ecb0af          56      10    * 18      10    38
1283564c9a07debf        * 55      10      62      10    7
124756389a0cdebf          95      10    * 30      10    65
0234157896afdecb          41      10    * 16      10    25
136452b79a8cdef0          41      10    * 29      10    12
230416785eab9dfc          35      10    * 10      10    25
162357489a0bdefc          69      10    * 33      10    36
236410589a7cdebf          51      10    * 35      10    16
1234578c96afd0eb        * 40      10      67      10    27
123456709abcde8f          90      10    * 34      10    56
023416785dbca9ef          38      10    * 22      10    16
12345678aedc90bf          69      10    * 43      10    26
123456789cefd0ab          48    - 10    * 36    + 12    12
130452a8976bdefc          60      10    * 27      10    33
123457b8d60ca9ef          59      10    * 22      10    37
2634178059bcdaef          41      10    * 10      10    31
123456789ecfdba0          22      8     * 13      8     9
51249638da7be0fc          29      10    * 10      10    19
51349267aeb8d0fc          40      10    * 10      10    30
16239574dab8e0fc          28      10    * 10      10    18
12346a785bec9df0          39      10    * 12      10    27
234815609a7bdefc          37      10    * 10      10    27
123456780eaf9dcb          48      10    * 16      10    32
5304217896bcdaef          48      10    * 29      10    19
1248573b960adefc          49      10    * 26      10    23
127356b49a0cde8f          71      10    * 39      10    32
120756439ac8debf        * 56      10      58      10    2
234816705abc9def          27      10    * 10      10    17
13645a28970bdefc          59      10    * 35      10    24
2634178059abdefc          40      10    * 10      10    30
123469b705a8defc          62      10    * 59      10    3
120756439ac8debf        * 56      10      58      10    2
12345068ad7c9ebf          80      10    * 24      10    56
263410785eac9dbf          57      10    * 10      10    47
1234678c590adebf          46      10    * 44      10    2
123456780beca9df          42      10    * 28      10    14
1234568c0a7f9deb          35      10    * 20      10    15
12345670d9c8aebf          50      10    * 24      10    26
124856739abcdef0          75      10    * 44      10    31
237415a8960bdefc          49      10    * 15      10    34
16245a709b38defc          57      10    * 55      10    2
0134527896cfdaeb          34      10    * 14      10    20
123457b096e8dafc          72      10    * 56      10    16
124750b396a8defc          62      10    * 22      10    40
2634517809abdefc          68      10    * 66      10    2
120357a496c8debf          45      10    * 18      10    27
512360749ac8debf          49      10    * 10      10    39
263451780abc9def          55      10    * 40      10    15
120357a496c8debf          45      10    * 18      10    27
51349268da7ce0bf          36      10    * 10      10    26
1234508b967cdaef          73      10    * 17      10    56
124856309a7fdecb          51      10    * 16      10    35
0634217859acdebf          52      10    * 47      10    5
134862705abc9def          28      10    * 10      10    18
2634517809bcdaef          59      10    * 56      10    3
134862705abc9def          28      10    * 10      10    18
12349568da0bef7c          39      10    * 33      10    6
0234157896cfdaeb          36      10    * 14      10    22
1234578b96fad0ec          37      10    * 27      10    10
123495670db8eafc        * 54      10      59      10    5
1348627059bcdaef          31      10    * 10      10    21
12345678ab0f9dce          51      10    * 40      10    11
1234567809ebdfac          25      8     * 18      8     7
027315649ac8debf          36      10    * 10      10    26
123469705ab8defc          69      10    * 42      10    27
123460785acf9deb          47      10    * 13      10    34
120367845abc9def          36      10    * 10      10    26
12735a640eb89dfc          43      10    * 10      10    33
123456780dfba9ec        * 56      10      62      10    6
234816705abc9def          27      10    * 10      10    17
12345678d9bca0ef        * 11      6       12      6     1
127350a49b68defc          68      10    * 34      10    34
123456e79b08dafc          87      10    * 22      10    65
1248563c9a7fd0eb          36      10    * 21      10    15
163457209ab8defc          91      10    * 69      10    22
123457a80e6c9dbf          56      10    * 25      10    31
127356489a0cdebf          97      10    * 35      10    62
2604173859abdefc          48      10    * 10      10    38
12346a805b7c9def          45      10    * 10      10    35
128356409a7bdefc        * 29      8       32      8     3
123460785bec9daf          54      10    * 13      10    41
120356789a4bdefc          80      10    * 38      10    42
12345678ac0f9deb          52      10    * 18      10    34
137452b8a60c9def          50      10    * 10      10    40
234816705abc9def          27      10    * 10      10    17
1234578c96bfd0ae          35      10    * 15      10    20
1234578c9a6bd0ef        * 69      10      109     10    40
16245a379c08debf          54      10    * 29      10    25
12345a689e7fd0cb          53      10    * 17      10    36
12345670abe89dfc          51      10    * 22      10    29
51236a7409b8defc          44      10    * 10      10    34
1304627859fbdaec          44      10    * 10      10    34
12345068da7ce9bf          79      10    * 25      10    54
127356b49a0cde8f          71      10    * 39      10    32
513426709ab8defc          66      10    * 63      10    3
127356b49e08dfac          54    - 10    * 27    + 12    27

Manhattan :    avg 50.63;       min    11;      max 97
Modified  :    avg 27.12;       min    10;      max 109
