seed                 manhattan    sol   modified  sol   diff
124705689a3fdecb          430     15    * 82      15    348
1234078c6abf59de          183     15    * 41      15    142
1387620459acdebf        * 186     13      456     13    270
13b762045ac89def        * 311     15      822     15    511
508321649a7bdefc          176     13    * 150     13    26
16275c039a84debf          411     15    * 135     15    276
163402579ab8defc        * 1006    15      1020    15    14
9523a174d6b80efc          223     15    * 109     15    114
123456c7db8fa90e          312     15    * 126     15    186
1234a967d5c8eb0f        * 326     15      393     15    67
123456789eacdb0f          8       5     * 7       5     1
127056439abcde8f          230     13    * 87      13    143
127436085abc9def          876   - 15    * 526   + 17    350
103452689a7cdebf          5       5       5       5     0
5134270ba6c89def          381     15    * 199     15    182
13485a269e70dfcb          313     15    * 142     15    171
18635a24d97c0ebf          252     15    * 98      15    154
2348067c159adebf          204     15    * 51      15    153
1348520ca67f9dbe          361     15    * 16      15    345
25739164dab8ef0c          232     15    * 76      15    156
27641e3850ab9dfc        * 368     15      993     15    625
51246a379fe80dbc          286   - 15    * 214   + 23    72
12475638abe09dfc          504     15    * 109     15    395
106352a49bf7dec8          326     15    * 148     15    178
123806475abc9def          773     15    * 657     15    116
2347160b5ea89dfc        * 284     15      540     15    256
1234578f9e6a0dcb          242     15    * 23      15    219
238716b459ecda0f          261     15    * 158     15    103
5123d97460b8eafc          326     15    * 282     15    44
18635b24907cdaef        * 404     15      420     15    16
502461389b7cdaef        * 83      11      137     11    54
1348527ba6fc9d0e        * 368     15      600     15    232
537491b862ecda0f          273     15    * 50      15    223
5348021796abdefc          400     15    * 121     15    279
293417086eab5dfc          274     15    * 60      15    214
104752a39c68debf          326     15    * 103     15    223
1234a78c6db059ef          257     15    * 91      15    166
27b316045af89dec          266     15    * 264     15    2
167205a39b84defc          326     15    * 85      15    241
6123798450acdebf        * 333     15      1599    15    1266
12349568ed70afcb        * 329     15      789     15    460
57142638a0bc9def          411     15    * 242     15    169
1234d5689b7cea0f          781     15    * 496     15    285
276413085afb9dec        * 365     15      733     15    368
12345607abc89def          36      9     * 9       9     27
12835a64907fdecb          157     13    * 28      13    129
1238054796bcdaef        * 291     13      401     13    110
104863b752ac9def        * 293     15      647     15    354
2a34167859bcde0f        * 256     13      557     13    301
51239804d67ceabf        * 351     15      723     15    372
1234560ba8c79def          556     15    * 79      15    477
51246a389bec0d7f          323     15    * 275     15    48
12345678afce9d0b        * 196     13      244     13    48
172453a8906fdecb          445     15    * 116     15    329
12345678dbfea90c          206     13    * 97      13    109
2380164c5a7b9def        * 263     15      296     15    33
61240b3857ac9def          339     15    * 311     15    28
1248053ba67c9def          432     15    * 20      15    412
2348157f96a0decb          262     15    * 21      15    241
16235a74edc809bf          295   - 15    * 65    + 17    230
124706b35da8e9fc          295     15    * 62      15    233
51239674dbc8ae0f        * 282     15      832     15    550
125306749ab8defc          891     15    * 371     15    520
134862075dbca9ef          329     15    * 27      15    302
2374196850afdecb          409     15    * 67      15    342
513406782dbca9ef          463     15    * 138     15    325
268317045afb9dec          315   - 15    * 57    + 17    258
138762a459c0debf        * 321     15      522     15    201
127356b4dfe8a90c          345   - 15    * 223   + 17    122
12345a689ebcdf07        * 138     11      220     11    82
236415789fb0daec          494     15    * 103     15    391
127453689abc0def        * 1016    15      1541    15    525
61345278d9b0aefc          531   - 15    * 437   + 19    94
123405c796b8daef          99      11    * 24      11    75
2480136759acdebf        * 258     15      620     15    362
51236a749ef8dc0b          264     15    * 22      15    242
172463a85e9c0dbf        * 243     15      298     15    55
123456079eafdbc8          734     15    * 131     15    603
23401967a5b8defc          105     13    * 35      13    70
123456b7a0dc9e8f          719     15    * 101     15    618
1234097865ebdfac          201     13    * 58      13    143
51409627da38efbc          185     15    * 139     15    46
124869735ac0debf          609     15    * 88      15    521
51349206ae78dfcb        * 351     15      609     15    258
134c520896afde7b          467     15    * 199     15    268
51236a749b8c0def          324     15    * 134     15    190
756301249ab8defc          368     15    * 103     15    265
12346a785bf09dce        * 158     13      174     13    16
13765a249bf8de0c          413     15    * 89      15    324
16245307dab8e9fc          233   - 13    * 70    + 15    163
162405b89a37defc          859     15    * 167     15    692
2a6401385b7c9def        * 319     15      1177    15    858
164257b39ea8df0c          415     15    * 105     15    310
12735648d9a0ebfc          477     15    * 81      15    396
16245a37d9cbef08          401   - 15    * 296   + 19    105
12345678d9e0bfca          364     15    * 84      15    280
10239574d6c8ebaf          260     15    * 41      15    219
12346a785df09ecb          183   - 13    * 182   + 15    1
12345a68d97bef0c          31      9     * 10      9     21
2648173b5af09dec          232     15    * 68      15    164

Manhattan :    avg 347.94;      min    8;       max 1016
Modified  :    avg 270.49;      min    7;       max 1599
